TNDST,STMT,EDMT,VRTS,STXT
Krishnagiri,August,October,ASD 19,Silty Clay Loam
Krishnagiri,August,October,ADT (R) 44,Clay
Krishnagiri,August,October,ADT (R) 46,Clay Loam
Dharmapuri,May,June,IR 50,Clay
Dharmapuri,May,June,IR 64,Sandy Loam
Dharmapuri,May,June,ASD 16,Silty Clay Loam
Dharmapuri,May,June,Bhavani,Sandy Loam
Dharmapuri,May,June,IR 20,Clay Loam
Dharmapuri,May,June,White Ponni,Loam
Dharmapuri,May,June,CO 43,Silty Clay
Dharmapuri,May,June,ASD 18,Silty Clay Loam
Dharmapuri,May,June,MDU 4,Sandy Clay
Dharmapuri,May,June,ASD 19,Silty Clay Loam
Dharmapuri,May,June,PAIYUR 1,Sand
Dharmapuri,May,June,ADT 42,Sandy Clay Loam
Dharmapuri,May,June,TRY 1,Silt Loam
Dharmapuri,May,June,MDU 5,Loamy Sand
Dharmapuri,May,June,ASD 20,Silty Clay Loam
Dharmapuri,May,June,ADT 43,Clay Loam
Dharmapuri,May,June,CO 47,Clay Loam
Dharmapuri,May,June,ADTRH 1,Clay Loam
Dharmapuri,May,June,TRY (R) 2*,Silt Loam
Dharmapuri,May,June,ADT (R) 47,Clay
Dharmapuri,December,January,IR 64,Sandy Loam
Dharmapuri,December,January,ADT 37,Clay Loam
Dharmapuri,December,January,ASD 16,Silty Clay Loam
Dharmapuri,December,January,ADT 36,Sandy Clay Loam
Dharmapuri,December,January,ASD 18,Silty Clay Loam
Dharmapuri,December,January,ADT 42,Sandy Clay Loam
Dharmapuri,December,January,MDU 5,Loamy Sand
Dharmapuri,December,January,ASD 20,Silty Clay Loam
Dharmapuri,December,January,TRY (R) 2*,Silt Loam
Dharmapuri,August,October,TRY 1,Silt Loam
Dharmapuri,August,October,Bhavani,Sandy Loam
Dharmapuri,August,October,IR 20,Clay Loam
Dharmapuri,August,October,White Ponni,Loam
Dharmapuri,August,October,CO 43,Silty Clay
Dharmapuri,August,October,MDU 4,Sandy Clay
Dharmapuri,August,October,ASD 19,Silty Clay Loam
Dharmapuri,August,October,ADT (R) 44,Clay
Dharmapuri,August,October,ADT (R) 46,Clay Loam
Coimbatore,May,June,IR 50,Clay
Coimbatore,May,June,ADT 36,Sandy Clay Loam
Coimbatore,May,June,ASD 16,Silty Clay Loam
Coimbatore,May,June,IR 64,Sandy Loam
Coimbatore,May,June,ASD 18,Silty Clay Loam
Coimbatore,May,June,ADT 42,Sandy Clay Loam
Coimbatore,May,June,MDU 5,Loamy Sand
Coimbatore,May,June,ASD 20,Silty Clay Loam
Coimbatore,May,June,ADT 43,Clay Loam
Coimbatore,May,June,CO 47,Clay Loam
Coimbatore,May,June,ADT (R) 45,Clay Loam
Coimbatore,May,June,TRY (R) 2*,Silt Loam
Coimbatore,May,June,ADTRH 1,Clay Loam
Coimbatore,May,June,ADT (R) 47,Clay
Coimbatore,August,August,IR 20,Clay Loam
Coimbatore,August,August,CO 43,Silty Clay
Coimbatore,August,August,White Ponni,Loam
Coimbatore,August,August,ADT 39,Silt
Coimbatore,August,August,MDU 4,Sandy Clay
Coimbatore,August,August,TRY 1,Silt Loam
Coimbatore,August,August,ASD 19,Silty Clay Loam
Coimbatore,August,August,Bhavani,Sandy Loam
Coimbatore,August,August,ADT (R) 44,Clay
Coimbatore,August,August,CORH 2,Clay Loam
Coimbatore,September,October,IR 20,Clay Loam
Coimbatore,September,October,ADT 39,Silt
Coimbatore,September,October,ADT (R) 46,Clay Loam
Coimbatore,September,October,CORH 2,Clay Loam
Coimbatore,December,January,IR 20,Clay Loam
Coimbatore,December,January,ADT 36,Sandy Clay Loam
Coimbatore,December,January,IR 64,Sandy Loam
Coimbatore,December,January,ASD 16,Silty Clay Loam
Coimbatore,December,January,ASD 18,Silty Clay Loam
Coimbatore,December,January,TRY 1,Silt Loam
Coimbatore,December,January,MDU 5,Loamy Sand
Coimbatore,December,January,ASD 20,Silty Clay Loam
Coimbatore,December,January,TRY (R) 2*,Silt Loam
Erode,May,June,IR 50,Clay
Erode,May,June,ASD 16,Silty Clay Loam
Erode,May,June,IR 64,Sandy Loam
Erode,May,June,ADT 36,Sandy Clay Loam
Erode,May,June,ASD 18,Silty Clay Loam
Erode,May,June,ADT 42,Sandy Clay Loam
Erode,May,June,MDU 5,Loamy Sand
Erode,May,June,ASD 20,Silty Clay Loam
Erode,May,June,ADT 43,Clay Loam
Erode,May,June,CO 47,Clay Loam
Erode,May,June,ADT (R) 45,Clay Loam
Erode,May,June,TRY (R) 2*,Silt Loam
Erode,May,June,ADTRH 1,Clay Loam
Erode,May,June,ADT (R) 47,Clay
Erode,August,August,IR 20,Clay Loam
Erode,August,August,Bhavani,Sandy Loam
Erode,August,August,CO 43,Silty Clay
Erode,August,August,White Ponni,Loam
Erode,August,August,ADT 39,Silt
Erode,August,August,TRY 1,Silt Loam
Erode,August,August,CO 46,Silty Clay
Erode,August,August,ADT (R) 44,Clay
Erode,September,October,IR 20,Clay Loam
Erode,September,October,White Ponni,Loam
Erode,September,October,ADT 39,Silt
Erode,September,October,CO 43,Silty Clay
Erode,September,October,TRY 1,Silt Loam
Erode,September,October,CO 46,Silty Clay
Erode,September,October,ADT (R) 46,Clay Loam
Erode,September,October,CORH 2,Clay Loam
Erode,December,January,IR 20,Clay Loam
Erode,December,January,ADT 36,Sandy Clay Loam
Erode,December,January,IR 64,Sandy Loam
Erode,December,January,ASD 16,Silty Clay Loam
Erode,December,January,ASD 18,Silty Clay Loam
Erode,December,January,ADT 42,Sandy Clay Loam
Erode,December,January,MDU 5,Loamy Sand
Erode,December,January,ASD 20,Silty Clay Loam
The Nilgiris,July,August,IR 20,Clay Loam
The Nilgiris,July,August,CO 43,Silty Clay
The Nilgiris,July,August,TRY 1,Silt Loam
The Nilgiris,July,August,ADT (R) 44,Clay
